education_level,experience,location,job_title,age,gender,salary
Bachelor's,8,Rural,Data Analyst,38,Female,71400
PhD,2,Rural,HR Manager,40,Male,64281
PhD,24,Urban,Data Scientist,48,Female,220000
Bachelor's,13,Suburban,Director,36,Female,188100
PhD,25,Rural,Software Engineer,44,Male,167343
High School,25,Urban,Director,23,Female,216000
Bachelor's,7,Suburban,Product Manager,58,Female,121837
Bachelor's,1,Rural,Customer Support,28,Female,22312
PhD,24,Rural,Data Scientist,55,Female,187000
Bachelor's,9,Urban,Data Analyst,38,Male,87000
Bachelor's,17,Urban,Product Manager,36,Male,175750
High School,23,Suburban,Marketing Executive,48,Female,57190
Master's,7,Rural,HR Manager,46,Male,69423
Master's,4,Suburban,Data Analyst,40,Male,75240
PhD,16,Suburban,Technician,24,Female,64125
Master's,2,Rural,Marketing Executive,38,Male,35997
Bachelor's,20,Suburban,Data Scientist,41,Female,152000
Bachelor's,10,Rural,HR Manager,57,Male,70125
PhD,17,Urban,Clerk,27,Female,46250
High School,19,Suburban,Director,43,Male,177840
Bachelor's,30,Urban,Software Engineer,30,Male,175000
PhD,20,Urban,Data Scientist,60,Male,200000
High School,1,Urban,Clerk,23,Female,16800
PhD,18,Urban,Data Scientist,26,Male,190000
Master's,25,Suburban,Software Engineer,26,Female,164587
Bachelor's,15,Suburban,HR Manager,46,Female,91437
Bachelor's,4,Suburban,Customer Support,27,Female,28500
High School,28,Urban,Director,56,Female,230400
High School,17,Suburban,Director,58,Female,168720
Master's,7,Urban,Data Scientist,57,Male,118800
PhD,30,Urban,Data Analyst,31,Male,187500
High School,17,Rural,Director,45,Male,150960
Master's,30,Urban,Software Engineer,53,Male,192500
Master's,6,Suburban,Software Engineer,52,Female,95095
Bachelor's,1,Suburban,Data Analyst,33,Female,59850
PhD,11,Rural,Clerk,40,Male,32937
High School,5,Urban,Software Engineer,41,Male,70000
Master's,22,Urban,Director,33,Male,277200
Master's,4,Rural,Technician,54,Female,33660
Bachelor's,3,Rural,Customer Support,26,Male,24437
Master's,23,Suburban,Customer Support,55,Female,56168
Master's,14,Urban,Marketing Executive,33,Female,65450
Master's,7,Urban,Customer Support,24,Male,37125
PhD,23,Rural,Marketing Executive,56,Female,79953
High School,10,Rural,Clerk,32,Female,20400
Bachelor's,0,Urban,Director,53,Male,120000
PhD,28,Suburban,Clerk,28,Female,57000
Master's,18,Suburban,Software Engineer,25,Male,138985
PhD,4,Suburban,Customer Support,48,Female,35625
High School,10,Urban,Technician,38,Male,36000
Bachelor's,9,Rural,Data Analyst,44,Male,73950
High School,25,Rural,Data Scientist,45,Male,122400
Bachelor's,7,Urban,HR Manager,26,Female,74250
Bachelor's,3,Suburban,Data Analyst,60,Female,65550
Master's,12,Suburban,Director,25,Female,200640
Bachelor's,2,Rural,Data Analyst,55,Male,56100
Master's,11,Suburban,Data Analyst,57,Female,97185
PhD,14,Urban,Data Analyst,21,Male,127500
PhD,10,Rural,Technician,45,Female,47812
Master's,8,Urban,Technician,35,Male,46200
Bachelor's,28,Urban,Clerk,28,Female,48000
High School,17,Urban,Technician,43,Female,44400
Master's,3,Suburban,Software Engineer,46,Female,84122
PhD,23,Rural,Data Analyst,30,Male,137062
PhD,30,Rural,Data Scientist,57,Male,212500
Bachelor's,20,Urban,Director,40,Female,240000
High School,26,Urban,Data Scientist,56,Female,147200
Bachelor's,22,Suburban,Data Analyst,40,Male,119700
High School,0,Rural,Software Engineer,55,Male,47600
High School,7,Rural,Data Analyst,46,Female,55080
High School,7,Suburban,Customer Support,50,Male,25650
High School,13,Urban,Clerk,35,Female,26400
High School,1,Urban,Technician,51,Female,25200
Bachelor's,10,Suburban,Data Scientist,37,Male,114000
PhD,19,Rural,Director,42,Male,248625
Master's,29,Suburban,Customer Support,58,Female,64006
PhD,5,Suburban,Marketing Executive,55,Female,51953
Bachelor's,18,Rural,Clerk,48,Female,32300
Bachelor's,13,Rural,Data Scientist,58,Male,112200
PhD,29,Suburban,Product Manager,54,Female,276390
PhD,27,Suburban,Software Engineer,42,Female,195343
Master's,3,Urban,Director,39,Female,151800
Master's,12,Rural,Data Scientist,35,Female,119680
Master's,30,Rural,HR Manager,59,Female,128562
Bachelor's,0,Rural,Product Manager,27,Male,80750
PhD,22,Suburban,Software Engineer,60,Female,174562
High School,25,Rural,Product Manager,51,Male,145350
Master's,21,Suburban,Data Analyst,53,Female,128534
High School,7,Urban,Software Engineer,49,Female,75600
PhD,21,Suburban,Customer Support,43,Female,60859
Bachelor's,21,Suburban,Customer Support,59,Male,48687
High School,18,Suburban,Clerk,30,Male,28880
High School,10,Urban,Technician,56,Female,36000
PhD,20,Suburban,Software Engineer,28,Male,166250
Master's,14,Rural,Marketing Executive,39,Male,55632
Bachelor's,27,Suburban,Data Scientist,35,Female,178600
Bachelor's,18,Urban,Software Engineer,29,Male,133000
High School,27,Urban,Marketing Executive,36,Male,65800
Bachelor's,21,Rural,Customer Support,39,Male,43562
PhD,24,Rural,Marketing Executive,49,Male,81812
Master's,27,Suburban,Technician,25,Female,73672
High School,10,Urban,Software Engineer,32,Female,84000
High School,28,Urban,Data Analyst,33,Male,115200
Master's,26,Suburban,Data Scientist,30,Female,192279
Bachelor's,28,Urban,Technician,54,Female,72000
High School,23,Urban,Data Scientist,43,Female,137600
Master's,30,Rural,Data Scientist,35,Female,187000
Master's,0,Urban,Data Scientist,28,Female,88000
Bachelor's,26,Suburban,Director,37,Female,262200
Bachelor's,10,Urban,Customer Support,45,Male,37500
Master's,1,Suburban,Marketing Executive,55,Male,38403
Bachelor's,23,Suburban,Customer Support,32,Female,51062
Master's,28,Urban,HR Manager,21,Male,145200
PhD,3,Suburban,Clerk,46,Male,27312
High School,28,Suburban,Technician,26,Male,54720
Bachelor's,30,Suburban,HR Manager,32,Female,130625
PhD,11,Suburban,Product Manager,30,Male,174859
PhD,13,Rural,Data Analyst,50,Female,105187
Master's,8,Urban,Product Manager,54,Female,146300
PhD,26,Suburban,Data Scientist,28,Male,218499
Master's,13,Urban,Software Engineer,38,Male,127050
Bachelor's,18,Rural,Marketing Executive,32,Female,56525
PhD,17,Suburban,Customer Support,50,Female,54921
Bachelor's,23,Rural,Customer Support,45,Female,45687
Master's,0,Urban,Data Scientist,47,Male,88000
Master's,1,Suburban,Data Scientist,59,Male,87780
Master's,8,Rural,HR Manager,41,Male,71995
PhD,4,Urban,Data Scientist,57,Female,120000
PhD,13,Rural,Clerk,38,Male,35062
PhD,0,Suburban,Product Manager,35,Female,112812
Master's,4,Rural,Clerk,41,Male,22440
High School,7,Suburban,Technician,52,Male,30780
Bachelor's,20,Rural,Product Manager,44,Female,161500
Master's,4,Suburban,HR Manager,54,Male,68970
Bachelor's,15,Suburban,Clerk,22,Male,33250
High School,26,Rural,Data Analyst,46,Female,93840
Master's,5,Suburban,HR Manager,38,Male,71843
Master's,25,Rural,Data Analyst,36,Male,126225
Bachelor's,11,Urban,Data Scientist,23,Female,124000
Master's,14,Rural,Software Engineer,56,Male,111265
Master's,18,Suburban,Data Scientist,22,Female,158840
High School,22,Rural,Data Analyst,52,Female,85680
Master's,30,Rural,Customer Support,54,Female,58437
Bachelor's,14,Urban,Data Scientist,22,Male,136000
High School,1,Rural,Director,40,Male,85680
PhD,11,Rural,Data Scientist,60,Female,131750
High School,4,Rural,Marketing Executive,27,Male,28560
Master's,5,Urban,Data Scientist,26,Female,110000
Master's,24,Suburban,Software Engineer,57,Female,160930
Master's,21,Rural,Data Analyst,59,Male,115004
Bachelor's,3,Urban,Technician,52,Male,34500
Bachelor's,30,Rural,Marketing Executive,51,Male,74375
Master's,25,Rural,Technician,54,Male,63112
PhD,26,Suburban,Marketing Executive,59,Male,95593
Master's,4,Suburban,Customer Support,44,Female,31350
PhD,23,Rural,Data Scientist,54,Male,182750
PhD,0,Suburban,Product Manager,59,Male,112812
High School,0,Suburban,HR Manager,55,Male,41800
High School,8,Rural,HR Manager,43,Male,52360
Bachelor's,16,Rural,Customer Support,52,Female,38250
Bachelor's,9,Suburban,Data Scientist,46,Female,110200
Bachelor's,14,Rural,Clerk,35,Male,28900
PhD,7,Suburban,Customer Support,38,Female,40078
Master's,16,Rural,Software Engineer,47,Female,117810
Bachelor's,4,Suburban,Customer Support,28,Male,28500
PhD,1,Urban,Product Manager,41,Male,124687
PhD,30,Rural,Marketing Executive,35,Male,92968
Master's,19,Urban,Technician,35,Female,64350
Master's,0,Urban,Director,60,Male,132000
High School,14,Rural,Data Scientist,49,Male,92480
High School,19,Rural,Software Engineer,44,Male,92820
PhD,7,Suburban,Data Analyst,59,Male,96187
Bachelor's,16,Suburban,Technician,53,Male,51300
Master's,9,Rural,Technician,28,Female,40672
Master's,7,Urban,Technician,32,Female,44550
Bachelor's,16,Suburban,Marketing Executive,25,Female,59850
PhD,3,Suburban,Technician,55,Male,40968
Bachelor's,2,Rural,Data Analyst,32,Male,56100
Bachelor's,15,Urban,HR Manager,47,Female,96250
Master's,15,Suburban,Clerk,23,Male,36575
PhD,8,Suburban,Marketing Executive,51,Male,58187
Master's,26,Suburban,Director,41,Female,288420
PhD,14,Urban,Marketing Executive,48,Male,74375
High School,1,Suburban,Customer Support,59,Male,19950
Master's,22,Rural,Marketing Executive,37,Female,68722
PhD,9,Suburban,Director,57,Male,206625
Bachelor's,15,Rural,Software Engineer,49,Female,104125
Bachelor's,14,Urban,Data Scientist,35,Female,136000
High School,8,Rural,Data Analyst,37,Male,57120
Master's,2,Urban,Data Scientist,28,Female,96800
Master's,28,Urban,Director,47,Male,316800
High School,1,Rural,HR Manager,39,Male,39270
PhD,7,Suburban,Data Analyst,30,Male,96187
Bachelor's,9,Rural,Data Analyst,43,Male,73950
Bachelor's,13,Rural,Clerk,32,Female,28050
Master's,5,Rural,Software Engineer,28,Female,81812
PhD,19,Suburban,Product Manager,25,Male,219984
Master's,16,Rural,Product Manager,26,Male,159885
Master's,6,Rural,Data Scientist,35,Male,97240
Bachelor's,14,Urban,Product Manager,39,Male,161500
Master's,14,Suburban,Technician,51,Female,53295
Bachelor's,28,Suburban,Product Manager,26,Female,216600
Bachelor's,1,Urban,Marketing Executive,25,Male,36750
High School,22,Urban,Software Engineer,37,Male,117600
PhD,28,Rural,Clerk,44,Male,51000
Master's,11,Rural,HR Manager,42,Female,79708
High School,10,Suburban,Software Engineer,51,Male,79800
PhD,19,Suburban,Customer Support,59,Female,57890
Master's,23,Urban,Data Analyst,28,Male,141900
Bachelor's,30,Suburban,Technician,44,Female,71250
PhD,12,Suburban,Customer Support,52,Female,47500
Master's,22,Suburban,Technician,40,Male,65835
Master's,24,Rural,Director,44,Male,246840
Bachelor's,15,Rural,Customer Support,56,Male,37187
Master's,24,Urban,Data Scientist,29,Female,193600
High School,21,Rural,Marketing Executive,57,Male,48789
PhD,11,Rural,Software Engineer,22,Female,115281
Bachelor's,25,Urban,Customer Support,52,Female,56250
PhD,27,Rural,Data Scientist,56,Male,199750
High School,25,Suburban,Data Analyst,60,Male,102600
Bachelor's,2,Suburban,Marketing Executive,55,Male,36575
Master's,24,Suburban,Marketing Executive,50,Female,80465
Bachelor's,10,Urban,Customer Support,38,Male,37500
High School,0,Suburban,Data Analyst,51,Male,45600
Bachelor's,30,Suburban,Software Engineer,52,Male,166250
High School,7,Rural,Customer Support,28,Male,22950
Bachelor's,11,Suburban,Data Scientist,50,Female,117800
Bachelor's,20,Urban,Product Manager,33,Female,190000
High School,27,Urban,Product Manager,27,Male,178600
Bachelor's,26,Rural,HR Manager,56,Male,107524
Bachelor's,11,Suburban,Customer Support,48,Male,36812
Bachelor's,0,Rural,Customer Support,21,Male,21250
Bachelor's,27,Suburban,Marketing Executive,26,Female,78137
PhD,4,Rural,Product Manager,44,Male,121125
Master's,25,Urban,Clerk,60,Female,49500
Bachelor's,4,Suburban,Software Engineer,52,Female,79800
Master's,7,Urban,Customer Support,51,Female,37125
Master's,6,Suburban,Data Analyst,41,Female,81510
PhD,20,Urban,Data Scientist,26,Female,200000
High School,24,Urban,Software Engineer,41,Female,123200
Bachelor's,30,Rural,Product Manager,59,Female,201875
PhD,28,Rural,Software Engineer,21,Male,178500
High School,5,Rural,HR Manager,48,Male,46750
High School,26,Urban,Data Analyst,22,Female,110399
High School,9,Suburban,Clerk,42,Male,22040
High School,20,Suburban,HR Manager,23,Female,83600
High School,27,Rural,Technician,32,Female,47940
Master's,26,Urban,Data Analyst,41,Female,151800
Master's,17,Rural,HR Manager,57,Male,95136
High School,2,Suburban,Product Manager,44,Female,79420
PhD,2,Rural,Data Scientist,30,Female,93500
PhD,11,Suburban,Technician,43,Male,55218
PhD,10,Suburban,Technician,23,Female,53437
PhD,19,Rural,Marketing Executive,33,Male,72515
Master's,10,Suburban,Customer Support,25,Male,39187
Master's,4,Urban,Data Scientist,48,Female,105600
Master's,23,Rural,Technician,28,Female,60307
Bachelor's,30,Rural,Technician,49,Male,63750
Bachelor's,5,Rural,Software Engineer,27,Female,74375
PhD,14,Urban,Director,41,Female,255000
Master's,17,Suburban,HR Manager,27,Male,106328
PhD,2,Rural,Data Analyst,27,Female,70125
PhD,2,Suburban,Technician,31,Male,39187
Master's,14,Suburban,Data Scientist,50,Female,142120
High School,1,Urban,Data Scientist,48,Male,67200
High School,24,Suburban,Director,29,Male,200640
PhD,7,Suburban,Technician,45,Male,48093
High School,17,Urban,Technician,43,Male,44400
PhD,6,Rural,Marketing Executive,44,Female,48343
Bachelor's,29,Rural,Data Scientist,44,Female,166600
PhD,22,Suburban,Product Manager,47,Male,236906
PhD,27,Suburban,Technician,30,Male,83718
Bachelor's,5,Suburban,HR Manager,50,Male,65312
PhD,6,Rural,Data Scientist,47,Female,110500
PhD,19,Urban,HR Manager,43,Male,134062
Bachelor's,13,Rural,Data Analyst,32,Male,84150
Master's,29,Urban,HR Manager,60,Female,148225
PhD,0,Rural,Product Manager,54,Male,100937
High School,11,Urban,Data Scientist,26,Male,99200
Master's,26,Suburban,Software Engineer,30,Female,168245
Master's,17,Urban,HR Manager,40,Male,111925
Bachelor's,29,Urban,Software Engineer,60,Male,171500
Master's,26,Suburban,Data Analyst,51,Female,144210
High School,5,Suburban,Data Analyst,28,Male,57000
Master's,3,Urban,Product Manager,34,Male,120175
High School,6,Rural,Technician,56,Female,26520
Master's,7,Urban,Clerk,28,Female,29700
Master's,9,Urban,Data Analyst,36,Female,95700
Bachelor's,22,Urban,Software Engineer,51,Male,147000
High School,18,Urban,Customer Support,26,Male,38000
High School,7,Rural,Marketing Executive,27,Female,32130
PhD,13,Rural,Software Engineer,59,Female,122718
High School,20,Urban,Clerk,33,Male,32000
High School,11,Rural,Marketing Executive,35,Female,36890
High School,11,Suburban,Technician,31,Female,35340
PhD,30,Urban,Customer Support,33,Male,78125
PhD,4,Urban,Marketing Executive,28,Male,52500
Master's,26,Suburban,Clerk,40,Female,48069
PhD,23,Urban,Marketing Executive,24,Male,94062
Master's,0,Urban,Software Engineer,46,Male,77000
Master's,9,Suburban,Data Scientist,22,Female,121220
PhD,28,Urban,Data Scientist,54,Female,240000
PhD,7,Urban,Clerk,52,Female,33750
PhD,16,Urban,Customer Support,36,Male,56250
PhD,19,Urban,HR Manager,36,Female,134062
PhD,4,Urban,Data Scientist,41,Female,120000
Master's,3,Rural,Clerk,21,Female,21505
Master's,1,Rural,Product Manager,40,Female,93266
High School,16,Suburban,Product Manager,42,Male,129960
High School,20,Urban,Data Scientist,26,Male,128000
PhD,26,Rural,Director,29,Female,293250
Bachelor's,20,Suburban,Customer Support,24,Male,47500
PhD,2,Rural,Product Manager,28,Female,111031
Master's,25,Urban,Customer Support,53,Male,61875
Master's,4,Rural,HR Manager,44,Male,61710
Bachelor's,18,Urban,Software Engineer,56,Male,133000
PhD,22,Suburban,Clerk,34,Female,49875
High School,5,Urban,Technician,51,Female,30000
Master's,24,Rural,Marketing Executive,29,Female,71995
High School,3,Rural,Software Engineer,26,Male,54739
PhD,11,Urban,Marketing Executive,54,Female,67812
Bachelor's,19,Urban,Data Scientist,41,Female,156000
High School,18,Urban,Clerk,34,Male,30400
Bachelor's,9,Urban,Product Manager,59,Female,137750
PhD,8,Urban,Software Engineer,39,Female,122499
Master's,23,Suburban,Data Analyst,31,Male,134805
PhD,20,Rural,Software Engineer,46,Male,148750
Master's,22,Rural,Clerk,53,Male,39270
Bachelor's,1,Rural,Software Engineer,24,Male,62475
Master's,16,Urban,Software Engineer,36,Male,138600
PhD,24,Suburban,Data Scientist,39,Female,209000
PhD,6,Rural,Data Scientist,38,Female,110500
PhD,1,Urban,Technician,34,Male,39375
High School,30,Rural,Technician,53,Female,51000
Master's,11,Urban,Customer Support,33,Male,42625
High School,20,Suburban,Software Engineer,36,Male,106400
Bachelor's,10,Suburban,Marketing Executive,27,Female,49875
Bachelor's,24,Urban,Data Scientist,58,Male,176000
High School,5,Suburban,Data Analyst,22,Male,57000
Master's,27,Rural,Marketing Executive,48,Female,76903
PhD,3,Suburban,Software Engineer,21,Male,95593
Master's,3,Suburban,Clerk,45,Female,24034
PhD,5,Suburban,Customer Support,35,Female,37109
Bachelor's,16,Urban,Technician,46,Female,54000
Master's,29,Suburban,Technician,44,Female,76807
High School,23,Urban,Clerk,31,Female,34400
Bachelor's,9,Suburban,Data Scientist,25,Female,110200
PhD,24,Rural,Director,21,Female,280500
Bachelor's,15,Suburban,Director,50,Male,199500
High School,14,Urban,Director,22,Male,163200
PhD,22,Suburban,Marketing Executive,52,Female,87281
Bachelor's,14,Rural,Technician,51,Female,43350
Bachelor's,25,Rural,HR Manager,35,Female,105187
Master's,17,Rural,Clerk,24,Male,34595
PhD,0,Rural,Software Engineer,34,Male,74375
PhD,30,Suburban,Director,38,Male,356250
PhD,16,Suburban,Marketing Executive,57,Male,74812
Bachelor's,23,Rural,Customer Support,54,Female,45687
Master's,18,Suburban,Data Analyst,34,Male,119130
Bachelor's,3,Urban,Marketing Executive,47,Female,40250
Bachelor's,11,Urban,Data Analyst,29,Male,93000
High School,1,Rural,HR Manager,35,Female,39270
High School,27,Suburban,Data Scientist,47,Male,142880
Bachelor's,4,Rural,Customer Support,25,Female,25500
PhD,10,Urban,Marketing Executive,38,Male,65625
Bachelor's,1,Suburban,Director,36,Female,119700
Master's,20,Rural,Marketing Executive,27,Male,65450
PhD,0,Urban,Clerk,26,Female,25000
High School,13,Urban,Clerk,48,Female,26400
High School,9,Suburban,HR Manager,46,Male,60610
Master's,15,Rural,Director,29,Female,196350
PhD,23,Rural,Technician,36,Female,68531
PhD,24,Rural,Software Engineer,60,Female,163625
PhD,6,Suburban,Data Analyst,44,Female,92625
High School,13,Suburban,Data Analyst,50,Female,75240
PhD,24,Suburban,Marketing Executive,44,Male,91437
High School,24,Suburban,Data Analyst,50,Female,100320
Master's,12,Urban,Product Manager,53,Male,167200
Bachelor's,3,Urban,Product Manager,41,Male,109249
High School,19,Rural,Data Scientist,51,Male,106080
High School,17,Suburban,Clerk,28,Female,28120
Bachelor's,19,Rural,Marketing Executive,23,Female,58012
Bachelor's,16,Urban,Data Analyst,34,Male,108000
High School,26,Suburban,Marketing Executive,59,Male,61179
High School,26,Suburban,Data Analyst,44,Female,104879
PhD,20,Urban,Data Scientist,40,Female,200000
High School,15,Urban,Data Analyst,31,Male,84000
Master's,12,Rural,HR Manager,46,Male,82280
PhD,30,Rural,Data Analyst,58,Male,159375
Master's,29,Urban,Data Scientist,42,Male,215600
PhD,23,Rural,Marketing Executive,23,Female,79953
Master's,0,Urban,Marketing Executive,49,Female,38500
Master's,0,Urban,Director,31,Female,132000
PhD,16,Rural,Product Manager,28,Male,181687
PhD,10,Rural,HR Manager,29,Female,87656
High School,4,Urban,Director,32,Female,115200
PhD,6,Rural,Marketing Executive,41,Male,48343
Master's,15,Urban,Customer Support,40,Female,48125
Bachelor's,8,Rural,Customer Support,57,Male,29749
Bachelor's,7,Urban,Data Analyst,43,Female,81000
Master's,22,Rural,Customer Support,47,Male,49087
Master's,5,Urban,Technician,30,Male,41250
High School,10,Urban,Data Scientist,54,Female,96000
High School,22,Urban,Data Scientist,46,Male,134400
Master's,12,Rural,Director,28,Male,179520
Bachelor's,3,Urban,Data Analyst,28,Male,69000
PhD,10,Rural,Product Manager,21,Male,151406
High School,17,Suburban,Data Analyst,31,Female,84360
Bachelor's,2,Suburban,Customer Support,47,Female,26125
Master's,6,Suburban,Software Engineer,26,Male,95095
High School,20,Urban,Technician,42,Male,48000
Master's,28,Urban,Customer Support,45,Female,66000
Bachelor's,27,Urban,Product Manager,25,Male,223250
Bachelor's,20,Urban,Marketing Executive,56,Female,70000
Bachelor's,2,Urban,Technician,28,Male,33000
Bachelor's,13,Suburban,HR Manager,58,Male,86212
PhD,9,Urban,Data Scientist,51,Male,145000
PhD,5,Urban,Marketing Executive,27,Female,54687
Master's,23,Urban,HR Manager,52,Male,130075
Bachelor's,7,Suburban,Marketing Executive,48,Female,44887
Master's,18,Suburban,Clerk,39,Male,39710
Master's,16,Suburban,Marketing Executive,38,Female,65835
PhD,0,Rural,Marketing Executive,50,Female,37187
Master's,29,Suburban,Technician,31,Male,76807
Master's,13,Suburban,HR Manager,47,Female,94833
Master's,25,Urban,Customer Support,55,Female,61875
Bachelor's,20,Urban,Data Analyst,28,Male,120000
Bachelor's,16,Urban,Director,28,Female,216000
Master's,17,Rural,Director,34,Female,207570
Bachelor's,21,Urban,Software Engineer,29,Female,143500
Bachelor's,14,Rural,Technician,60,Male,43350
Master's,7,Rural,Data Scientist,26,Female,100980
Bachelor's,18,Suburban,Technician,52,Female,54150
Master's,28,Suburban,Clerk,39,Female,50160
High School,3,Rural,Data Analyst,35,Male,46920
Master's,27,Suburban,HR Manager,45,Female,135066
High School,7,Suburban,Software Engineer,48,Female,71820
Bachelor's,30,Urban,Marketing Executive,43,Male,87500
PhD,5,Suburban,Product Manager,46,Female,141015
Bachelor's,13,Rural,HR Manager,50,Female,77137
High School,23,Urban,Customer Support,46,Female,43000
Bachelor's,13,Suburban,Director,34,Male,188100
Bachelor's,30,Suburban,Data Scientist,28,Male,190000
PhD,4,Suburban,Technician,38,Male,42750
Master's,17,Rural,Product Manager,25,Male,164326
Bachelor's,3,Urban,Data Analyst,23,Female,69000
Bachelor's,18,Urban,Technician,48,Female,57000
High School,0,Urban,Technician,44,Male,24000
High School,20,Urban,Customer Support,58,Male,40000
Bachelor's,19,Rural,Product Manager,24,Male,157462
PhD,25,Urban,Director,54,Female,337500
High School,13,Urban,Technician,35,Female,39600
Master's,8,Urban,Director,60,Male,184800
High School,23,Rural,Software Engineer,22,Male,102340
High School,25,Urban,Product Manager,36,Male,171000
Bachelor's,29,Suburban,Data Scientist,22,Female,186200
Master's,18,Suburban,Technician,52,Male,59565
Bachelor's,5,Urban,Data Scientist,27,Female,100000
Bachelor's,29,Suburban,Product Manager,28,Female,221112
Bachelor's,21,Rural,Marketing Executive,58,Female,60987
Bachelor's,8,Urban,Director,32,Male,168000
High School,30,Rural,Clerk,30,Male,34000
High School,16,Urban,Software Engineer,60,Female,100800
Bachelor's,29,Urban,Data Analyst,26,Female,147000
Bachelor's,16,Urban,Customer Support,44,Male,45000
PhD,10,Urban,Data Scientist,40,Male,150000
PhD,0,Suburban,Customer Support,41,Male,29687
High School,3,Suburban,Product Manager,55,Male,83030
High School,7,Rural,Data Scientist,32,Female,73440
PhD,0,Rural,HR Manager,26,Female,58437
High School,29,Suburban,Software Engineer,56,Male,130340
Bachelor's,5,Urban,HR Manager,33,Male,68750
Master's,15,Urban,Clerk,43,Female,38500
PhD,8,Suburban,Clerk,37,Male,33250
PhD,16,Urban,Data Scientist,24,Female,180000
Bachelor's,8,Suburban,HR Manager,50,Male,73150
PhD,18,Rural,Data Analyst,47,Female,121125
Bachelor's,15,Urban,HR Manager,35,Female,96250
PhD,4,Urban,Marketing Executive,37,Female,52500
Master's,1,Rural,Marketing Executive,34,Male,34361
Master's,21,Urban,Product Manager,56,Male,214225
Master's,6,Urban,HR Manager,32,Male,78650
Bachelor's,10,Rural,Product Manager,37,Female,121125
Bachelor's,1,Urban,Marketing Executive,49,Female,36750
High School,0,Urban,Product Manager,59,Male,76000
PhD,4,Urban,Marketing Executive,54,Female,52500
Master's,18,Urban,HR Manager,48,Male,114950
High School,19,Rural,Director,55,Female,159120
PhD,5,Suburban,Clerk,23,Male,29687
High School,20,Suburban,Technician,23,Male,45600
PhD,5,Rural,HR Manager,37,Female,73046
Master's,7,Suburban,Data Analyst,55,Female,84645
Bachelor's,19,Urban,Director,37,Male,234000
Bachelor's,9,Urban,Technician,25,Female,43500
PhD,20,Suburban,Director,60,Female,285000
Master's,27,Urban,Clerk,35,Male,51700
PhD,0,Urban,Customer Support,50,Male,31250
High School,0,Suburban,Clerk,58,Female,15200
PhD,4,Suburban,Clerk,39,Female,28500
Master's,8,Suburban,Software Engineer,51,Female,102410
Master's,25,Urban,Customer Support,44,Female,61875
PhD,8,Rural,Software Engineer,30,Female,104125
Master's,30,Rural,Data Scientist,47,Male,187000
High School,29,Suburban,Marketing Executive,24,Female,65170
PhD,12,Rural,Clerk,43,Female,34000
High School,4,Rural,Technician,59,Female,24480
Master's,13,Suburban,Marketing Executive,27,Male,60348
High School,6,Rural,HR Manager,32,Female,48620
PhD,15,Suburban,Customer Support,49,Male,51953
Master's,12,Rural,Software Engineer,35,Male,104720
High School,15,Rural,Data Analyst,36,Male,71400
PhD,6,Suburban,Clerk,58,Male,30875
PhD,11,Suburban,Software Engineer,45,Male,128843
High School,11,Rural,Customer Support,39,Female,26350
High School,9,Urban,Software Engineer,35,Male,81200
High School,14,Rural,Data Analyst,60,Female,69360
Bachelor's,3,Urban,Data Analyst,54,Female,69000
Master's,19,Rural,Product Manager,29,Female,173208
PhD,8,Rural,Marketing Executive,46,Male,52062
PhD,8,Urban,Customer Support,27,Female,43750
PhD,28,Suburban,Marketing Executive,51,Male,99750
Bachelor's,1,Urban,Data Analyst,59,Female,63000
PhD,6,Rural,HR Manager,29,Female,75968
High School,16,Suburban,Data Scientist,40,Female,109440
High School,21,Suburban,Product Manager,23,Female,148010
PhD,13,Suburban,Technician,30,Male,58781
PhD,3,Suburban,Customer Support,54,Female,34140
Master's,19,Urban,Customer Support,52,Female,53625
Bachelor's,12,Rural,Data Scientist,60,Male,108800
Bachelor's,29,Urban,Software Engineer,49,Female,171500
Bachelor's,12,Urban,Software Engineer,53,Male,112000
High School,25,Rural,Marketing Executive,49,Male,53550
High School,29,Urban,Clerk,24,Female,39200
Bachelor's,9,Rural,Clerk,28,Female,24650
PhD,26,Urban,Data Scientist,52,Male,229999
Master's,27,Urban,Data Analyst,28,Male,155100
PhD,3,Suburban,HR Manager,28,Female,75109
Master's,14,Rural,Director,57,Male,190740
Bachelor's,29,Suburban,Data Analyst,36,Female,139650
Master's,11,Urban,Customer Support,48,Male,42625
Bachelor's,12,Rural,Data Analyst,45,Male,81600
Master's,7,Urban,Data Analyst,40,Female,89100
PhD,25,Suburban,Data Analyst,36,Female,160312
Master's,1,Urban,Customer Support,54,Female,28875
PhD,19,Rural,Software Engineer,31,Female,145031
Master's,24,Urban,Data Analyst,39,Female,145200
Master's,7,Suburban,Director,39,Male,169290
Bachelor's,28,Urban,Data Scientist,38,Male,192000
Bachelor's,26,Rural,Clerk,24,Male,39100
Bachelor's,8,Rural,Director,56,Male,142800
Master's,23,Suburban,Customer Support,33,Female,56168
Master's,26,Rural,Marketing Executive,51,Female,75267
Bachelor's,24,Suburban,Marketing Executive,31,Female,73150
Master's,9,Suburban,Customer Support,55,Male,37881
Master's,26,Urban,Product Manager,42,Male,240350
PhD,28,Urban,Customer Support,47,Female,75000
Bachelor's,16,Urban,Clerk,56,Male,36000
PhD,18,Urban,Clerk,60,Male,47500
High School,8,Rural,Product Manager,54,Male,90440
PhD,4,Suburban,Clerk,26,Male,28500
